マルハン手稲店,北海道札幌市手稲区稲穂3条1-2-20,4パチ:276台1パチ:216台20スロ:240台,,488,280,532
パーラー太陽稲積公園店,北海道札幌市手稲区前田3条7-5-1,,,270,150,-
KEIZ手稲店,北海道札幌市手稲区手稲本町２条５丁目３番１号,,4,,,-
DAIGORO Z手稲店,北海道札幌市手稲区富丘2条6丁目4番8号,0.2パチ:58台1パチ:175台2パチ:40台20スロ:64台5スロ:68台,405,,,-
PANDORA手稲店,北海道札幌市手稲区前田4条7,【4円パチンコ】230台【1円パチンコ】165台【20円スロット】114台【5円スロット】38台,,395,152,271
パチンコ＆スロット　ピータウン手稲,北海道札幌市手稲区手稲本町1条3-3-10,1パチ:112台2.5パチ:14台2スロ:22台10スロ:16台,,126,38,-
ダイナム手稲店　ゆったり館,北海道札幌市手稲区稲穂3条4丁目6番48号,0.5パチ:20台1パチ:300台5スロ:40台1000円/89枚スロ:120台,,320,160,有
プレイランドハッピー西宮の沢店,北海道札幌市手稲区西宮の沢3条3丁目2番14号 ,,,,,大型駐車場完備
プレイランドハッピー手稲前田店,北海道札幌市手稲区前田4条10丁目2番25号 ,4パチ:-台1パチ:-台20スロ:-台,,,,大型駐車場完備
ダイナム北海道札幌清田店　ゆったり館,北海道札幌市清田区清田2条3丁目1番48号　,,,288,224,488
マルハン美しが丘店,北海道札幌市清田区美しが丘1条5-2-25,4パチ:420台1パチ:144台21.27スロ:-台,,564,396,775
ライジング平岡,北海道札幌市清田区平岡2条3-76-2,0.5パチ:40台1パチ:120台2.5パチ:160台20スロ:104台1000円/178枚スロ:60台,,320,164,-
ひまわり清田店,北海道札幌市清田区清田2条3-8-5,[4][2][1]パチ[20][5]スロ,,320,252,472
ベガスベガス美しが丘店,北海道札幌市清田区美しが丘1条7-6-10,0.5パチ:40台1000円/890玉パチ:360台1000円/232玉パチ:160台1000円/178枚スロ:40台1000円/47枚スロ:208台,,560,248,1025
パチンコゾーン平岡店,北海道札幌市清田区平岡8条1-1-10,0.5パチ:-台1パチ:-台2.5パチ:-台2.5スロ:-台1000円/188枚スロ:-台1000円/47枚スロ:-台,,240,192,350
マルハン函館大門店,北海道函館市松風町9-1,4パチ:164台1パチ:160台20スロ:120台5スロ:40台,,320,160,310
マルハン函館港店,北海道函館市港町2-12-22,4パチ:400台1パチ:240台20スロ:320台,,640,320,1000
イーグルベイプラス,北海道函館市高松町227-2,4パチ:216台0.25パチ:36台1パチ:180台20スロ:184台2.5スロ:31台,,432,215,470
ベガスベガス函館吉川店,北海道函館市吉川町5-12,4パチ:200台1パチ:200台20スロ:454台2スロ:40台5スロ:80台,,400,574,1056
ライジング函館五稜郭,北海道函館市梁川町4-2,4パチ:280台0.5パチ:36台1パチ:180台20スロ:252台5スロ:18台,,496,270,-
ベガスベガス函館港店,北海道函館市港町3-17-17,,,384,448,-
パーラー太陽大門店,北海道函館市松風町2-8,4パチ:102台1000円/875玉パチ:170台1000円/178枚スロ:34台21.277スロ:170台,,272,204,-
ひまわり日乃出店,北海道函館市日乃出町24-12,4パチ:176台1パチ:132台20スロ:176台5スロ:44台,,308,220,436
ひまわり函館店,北海道函館市昭和2-177,[4][1]パチ[20]スロ,,352,176,400
ベガスベガス函館昭和店,北海道函館市昭和3-18-8,4パチ:480台1.25パチ:240台20スロ:504台5スロ:76台,,720,580,934
ベガスベガス函館神山店,北海道函館市神山2-2-2,4パチ:128台1パチ:192台20スロ:128台,,320,128,308
ロイヤル函館店,北海道函館市昭和4-24-7,4パチ:-台1パチ:-台20スロ:-台5スロ:-台,,440,280,-
プレイランドハッピー本通店,北海道函館市本通4丁目14番8号 ,4パチ:-台1パチ:-台20スロ:-台5スロ:-台,,,,大型駐車場完備
スロットカフェーモナコ,北海道函館市亀田本町38-1,,144,,,80
パチンコボンボン,北海道函館市昭和1-30-1,,,256,56,200
パーラーアップル函館店,北海道函館市桔梗2-8-7,1パチ:-台5スロ:-台10スロ:-台,,224,104,200
パーラー京王,北海道函館市湯川町1-26-12,,,0,192,大型駐車場完備、近隣の提携駐車場も利用可能
パーラーパチパチ桔梗店,北海道函館市桔梗2-37-15,4パチ:107台1パチ:79台20スロ:168台,,272,168,-
パチンコ富士,北海道函館市美原1-13-15,,,,,-
パーラーパチパチ湯川店,北海道函館市湯川町2-10,,,,,-
スーパーハイペリオンセブン函館店,北海道函館市宮前町1-26,,,,,-
ガイア函館港店,北海道函館市港町1-13-12,,,,,-
パチンコバリバリ,北海道函館市高盛町1番8号,,,,,-
INDY函館,北海道函館市日乃出町14-1,,,,,-
ビンゴ南茅部店,北海道函館市川汲1363-1,,,,,-
パーラージァンジァン,北海道小樽市オタモイ1-2-7,4円パチンコ12台1.25円パチンコ108台1000円47枚スロット84台1000円178枚スロット36台,,120,120,200
FESTAポートサイド店,北海道小樽市勝納町1-9,1000円890玉パチンコ80台1000円4450玉パチンコ14台1000円47枚スロット73台1000円178枚スロット52台,,94,125,120
ナポリ小樽店,北海道小樽市長橋2-9-10,,,180,112,120
イーグルオー,北海道小樽市花園3-8-15,1000円/890玉パチ:292台5スロ:28台21.277スロ:100台,,292,128,300
BUDO－KAN2,北海道小樽市稲穂3-1-5,☆４円パチンコ：24台☆[1000円/890玉］パチ：224台☆[1000円/1780玉］パチ：13台☆[1000円/50枚］スロ：77台☆[1000円/178枚」スロ：41台☆[1000円/445枚］スロ：13台,,261,131,300
BUDO－KAN9番街,北海道小樽市稲穂2-9-7,,,284,100,有り
ビッグバン小樽店,北海道小樽市真栄1-1-3,1000円/875玉パチ:160台1000円/232玉パチ:128台21.277スロ:158台,,288,158,-
パーラーハビン銭函店,北海道小樽市桂岡町3-4,0.2パチ:-台100円/80玉パチ:-台2.5パチ:-台2スロ:-台5.556スロ:-台21.277スロ:-台,,128,137,120
プレイランドハッピー築港店,北海道小樽市築港11番8号 ,4パチ:-台1パチ:-台20スロ:-台5スロ:-台,,,,大型駐車場完備
プレイランドハッピー小樽駅前店,北海道小樽市稲穂3丁目5番3号 ,4パチ:-台1パチ:-台20スロ:-台,,,,立体駐車場完備(小樽グランドパーキングもご利用いただけます)
ベガスベガス旭川店,北海道旭川市永山2条8丁目 1-33,4パチ:200台1パチ:240台1000円/178枚スロ:106台21.277スロ:254台,,440,360,812
クラブイーグル　旭川店,北海道旭川市大雪通6丁目501番地11,2.5スロ:22台1000円/176枚スロ:123台21.277スロ:241台,,0,386,303
パチンコ＆スロット　ピータウン春光,北海道旭川市春光1条7-2-25第二ダイワビル1F,4パチ:48台0.2パチ:12台100円/175玉パチ:12台1000円/875玉パチ:72台2スロ:9台1000円/178枚スロ:29台21.277スロ:44台,,144,80,-
マルハン旭川永山店,北海道旭川市永山2条14-1-27,4パチ:604台1パチ:281台21.27スロ:352台,,880,400,1000
マルハン旭川西店,北海道旭川市忠和7条7-1-11,4パチ:280台1000円/875玉パチ:120台1000円/47枚スロ:160台21.277スロ:-台,,400,160,572
パーラーダイエー3条店,北海道旭川市3条通7-左6,,,154,64,80
パチンコボンボン永山店,北海道旭川市永山2条4-50,4パチ:144台0.5パチ:36台1パチ:180台1000円/178枚スロ:67台1000円/47枚スロ:208台,,360,288,-
パーラー太陽末広店,北海道旭川市末広東1条15-1-3,4パチ:80台0.25パチ:40台200円/175玉パチ:160台1000円/178枚スロ:80台1000円/47枚スロ:120台,,280,200,300
パーラーダイエー大町店,北海道旭川市大町2条6丁目21-70,・4パチ:120台・200円/175玉パチ:120台・200円/350玉パチ:40台・1000円/47枚スロ:122台・1000円/178枚スロ:36台,,280,158,450
ビックトマト南店,北海道旭川市宮前通東,,,448,256,800
ビッグトマト末広店,北海道旭川市末広1条13-1-17,,,384,256,700
ビッグトマト豊岡店,北海道旭川市豊岡3条4-3-1,,,384,239,500
ダイナム旭川近文店　ゆったり館,北海道旭川市川端町7条10丁目1番53号,0.5パチ:20台1パチ:260台2パチ:40台500円/89枚スロ:40台1000円/89枚スロ:80台,,320,120,有
ダイナム旭川店　ゆったり館,北海道旭川市永山３条8丁目83番1,0.562パチ:40台100円/89玉パチ:240台200円/89玉パチ:40台500円/89枚スロ:40台1000円/89枚スロ:40台,,320,80,有
夢屋豊岡店,北海道旭川市豊岡1条5-324-123,,,288,120,300
パチンコボンボン豊岡店,北海道旭川市豊岡3条2-2-21,4パチ:59台1パチ:137台20スロ:59台2.5スロ:27台,,219,86,有り
パチンコボンボン大町店,北海道旭川市大町1条7-14-270,4パチ:-台1パチ:-台20スロ:-台2.5スロ:-台,,389,324,850
パチンコジャンボ,北海道旭川市永山3条10-2-2,パチンコ[4]168台[1]56台内・羽根物62台パチスロ[20]116台［5］56台,,224,172,400
パーラートーエー神楽店,北海道旭川市神楽5条9,,,,,-
アルファ豊岡店,北海道旭川市豊岡3条3-1-3,,,264,220,400
アルファ旭町店,北海道旭川市旭町2条7-12-300,,,320,235,500
アルファ南６条通店,北海道旭川市南6条通23-1976-6,2パチ:-台10スロ:-台,,248,152,300
アルファ環状店,北海道旭川市永山10条4-118-112,,,284,163,400
アルファ神楽店,北海道旭川市神楽5条2-218,,,231,96,350
アルファ南４条店,北海道旭川市南4条通21-2-11,,,256,166,400
パーラートーエー緑が丘店,北海道旭川市旭神2条1-3-29,,,,,-
ビッグエーコー旭川流通団地店,北海道旭川市流通団地2条2-38,,,,,-
パチンコトーエー豊岡店,北海道旭川市豊岡15条7-1,,,,,-
パーラートーエー3条本店,北海道旭川市3条通7-右4,,,,,-
パーラートーエーアッシュ店,北海道旭川市１条通7-43-40,,,,,-
マルハン室蘭店,北海道室蘭市中島本町1-12-3,パチンコ：600台[4][1]スロット：306台［1000円/47枚][1000円/178枚],,600,306,785
パーラー太陽室蘭店,北海道室蘭市中央町4-1-1太陽ビル,4パチ:170台1000円/875玉パチ:136台1000円/178枚スロ:34台21.277スロ:136台,,306,170,立体駐車場完備
ビクトリア室蘭店,北海道室蘭市日の出町2-1-5,4パチ:180台1000円/890玉パチ:108台21.277スロ:216台,,288,216,415
ひまわり室蘭店,北海道室蘭市東町2-28-14,4パチ:220台1パチ:132台1000円/47枚スロ:176台,,352,176,370
ZEUS,北海道室蘭市港北町1-5-20,4パチ:168台1パチ:120台20スロ:144台,,0,144,235
ぱちんこ100MANDORU,北海道室蘭市中島町2-29-19,1.25パチ:-台2.5パチ:-台6.25スロ:146台,,279,116,-
ダイナム室蘭店　ゆったり館,北海道室蘭市中央町4丁目3番1号,0.568パチ:40台2.273パチ:40台5.682スロ:40台1000円/88枚スロ:80台,,320,120,433
パチンコ大統領,北海道室蘭市中島町4-12-2,0.5パチ:64台1パチ:192台2.5パチ:64台20スロ:20台5スロ:100台,,320,120,-
パーラー太陽釧路桜ヶ岡店,北海道釧路市桜ヶ岡4-4-4,4パチ:-台200円/175玉パチ:-台1000円/178枚スロ:-台1000円/47枚スロ:-台,,256,128,-
マルハン釧路店,北海道釧路市星が浦大通2-8-5,4パチ:252台1パチ:192台20スロ:230台5スロ:32台,,444,262,704
ライジング釧路,北海道釧路市南浜町9-2,1000円/1780玉パチ:-台1000円/890玉パチ:-台2.5パチ:-台1000円/89枚スロ:-台,,,,-
Ｐｌｕｓ　ＥＡＧＬＥ釧路星が浦店,北海道釧路市星が浦大通1-5-42,パチンコ4円1円スロット20円,,320,251,505
パーラー太陽釧路星が浦店,北海道釧路市星が浦大通4-2-30,4パチ:150台1000円/875玉パチ:116台1000円/178枚スロ:38台21.277スロ:152台,,266,190,-
ベガスベガス釧路店,北海道釧路市幸町14-1-2,4パチ:324台1.25パチ:165台20スロ:429台5スロ:71台,1032,,,-
ダイナム釧路貝塚店,北海道釧路市貝塚3丁目1番7号,4パチ:160台1パチ:160台20スロ:160台,,320,160,490
ダイナム釧路宝町店　ゆったり館,北海道釧路市宝町8番3号,0.568パチ:40台2.273パチ:40台5.682スロ:40台1000円/88枚スロ:120台,,320,160,有
夢屋釧路新橋店,北海道釧路市新橋大通4-2-13,,,250,108,271
ロイヤル釧路店,北海道釧路市貝塚3-4-9,,,432,288,-
ジェイ・プレス　パレット,北海道釧路市新富町1-10,4パチ:96台0.2パチ:29台1000円/1780玉パチ:32台1000円/890玉パチ:96台5スロ:64台21.277スロ:143台,,285,175,500
ジェイ．プレス ネオ,北海道釧路市新橋大通7-2,21.277スロ:159台,,0,159,150
ジェイ．プレス アクア,北海道釧路市入江町1-1,4パチ:64台0.25パチ:32台1000円/890玉パチ:98台1000円/178枚スロ:48台21.277スロ:96台,,192,144,400
ガリバー釧路店,北海道釧路市鳥取大通5-8-8,,,,,-
夢屋南浜店,北海道釧路市南浜町8-15,,,,,-
メリーラビット,北海道釧路市星が浦大通1-7-11,,,,,-
パチンコムーンラビット,北海道釧路市春採1-13-13,,,,,-
ゴッサムシティ,北海道帯広市西2条南16-1-2,500円/89枚スロ:33台1000円/47枚スロ:277台,,0,310,310
ライジング帯広,北海道帯広市稲田町南8線西12-13,,,432,216,-
イーグルスクエア帯広店,北海道帯広市西4条南14-2,0.25パチ:32台1パチ:192台2.5パチ:156台1000円/89枚スロ:125台,,380,125,400
マルハン帯広店,北海道帯広市大通南32-3-1,4パチ:240台1パチ:200台1000円/178枚スロ:40台1000円/47枚スロ:160台,,440,200,699
マルハン柏林台店,北海道帯広市西十六条南1-48-18,パチンコ：4円400台・1円40台スロット：21.27円388台,,440,388,741
